catalogue_release,observable_id,measurement_id,object_id,observable_name,value,err_plus,err_minus,censoring,unit,uncertainty_kind,source_location
v2-dataset-catalogue,DC683613_oii3727_3730,DC683613_ren25,DC_683613,oii3727_3730_flux,1.55,0.14,0.14,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185a_sii6718_6733,DC848185a_ren25,DC_848185_a,sii6718_6733_flux,0.34,0.04,0.04,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185a_nii6585,DC848185a_ren25,DC_848185_a,nii6585_flux,0.38,0.05,0.05,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185a_halpha_narrow,DC848185a_ren25,DC_848185_a,halpha_narrow_flux,5.65,0.14,0.14,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185a_oiii5008,DC848185a_ren25,DC_848185_a,oiii5008_flux,10.8,0.12,0.12,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185a_hbeta_narrow,DC848185a_ren25,DC_848185_a,hbeta_narrow_flux,1.88,0.02,0.02,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185a_heii4687,DC848185a_ren25,DC_848185_a,heii4687_flux,0.03,,,upper_limit,1e-18_erg_s-1_cm-2,limit,Published Table 2
v2-dataset-catalogue,DC848185a_oiii4364,DC848185a_ren25,DC_848185_a,oiii4364_flux,0.36,,,upper_limit,1e-18_erg_s-1_cm-2,limit,Published Table 2
v2-dataset-catalogue,DC848185a_hgamma,DC848185a_ren25,DC_848185_a,hgamma_flux,0.82,0.14,0.14,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185a_neiii3870,DC848185a_ren25,DC_848185_a,neiii3870_flux,1.25,0.15,0.15,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185a_oii3727_3730,DC848185a_ren25,DC_848185_a,oii3727_3730_flux,3.36,0.24,0.24,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185b_sii6718_6733,DC848185b_ren25,DC_848185_b,sii6718_6733_flux,0.77,0.07,0.07,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185b_nii6585,DC848185b_ren25,DC_848185_b,nii6585_flux,0.77,0.06,0.06,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185b_halpha_narrow,DC848185b_ren25,DC_848185_b,halpha_narrow_flux,7.49,0.21,0.21,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185b_oiii5008,DC848185b_ren25,DC_848185_b,oiii5008_flux,12.14,0.15,0.15,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185b_hbeta_narrow,DC848185b_ren25,DC_848185_b,hbeta_narrow_flux,2.14,0.03,0.03,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185b_heii4687,DC848185b_ren25,DC_848185_b,heii4687_flux,0.15,,,upper_limit,1e-18_erg_s-1_cm-2,limit,Published Table 2
v2-dataset-catalogue,DC848185b_oiii4364,DC848185b_ren25,DC_848185_b,oiii4364_flux,0.15,,,upper_limit,1e-18_erg_s-1_cm-2,limit,Published Table 2
v2-dataset-catalogue,DC848185b_hgamma,DC848185b_ren25,DC_848185_b,hgamma_flux,0.9,0.12,0.12,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185b_neiii3870,DC848185b_ren25,DC_848185_b,neiii3870_flux,1.03,0.16,0.16,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC848185b_oii3727_3730,DC848185b_ren25,DC_848185_b,oii3727_3730_flux,3.56,0.21,0.21,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC873321_sii6718_6733,DC873321_ren25,DC_873321,sii6718_6733_flux,0.48,0.06,0.06,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC873321_nii6585,DC873321_ren25,DC_873321,nii6585_flux,0.61,0.11,0.11,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC873321_halpha_narrow,DC873321_ren25,DC_873321,halpha_narrow_flux,10.34,0.51,0.51,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC873321_oiii5008,DC873321_ren25,DC_873321,oiii5008_flux,26.08,1.01,1.01,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC873321_hbeta_narrow,DC873321_ren25,DC_873321,hbeta_narrow_flux,3.12,0.1,0.1,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC873321_heii4687,DC873321_ren25,DC_873321,heii4687_flux,0.16,,,upper_limit,1e-18_erg_s-1_cm-2,limit,Published Table 2
v2-dataset-catalogue,DC873321_oiii4364,DC873321_ren25,DC_873321,oiii4364_flux,0.33,0.1,0.1,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC873321_hgamma,DC873321_ren25,DC_873321,hgamma_flux,1.29,0.13,0.13,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC873321_neiii3870,DC873321_ren25,DC_873321,neiii3870_flux,2.59,0.21,0.21,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
v2-dataset-catalogue,DC873321_oii3727_3730,DC873321_ren25,DC_873321,oii3727_3730_flux,3.15,0.3,0.3,detection,1e-18_erg_s-1_cm-2,published_symmetric_1sigma,Published Table 2
